resort_id,resort_name,lift_count,status_page_url
68b126bc3175516c9263aed7635d14e37ff360dc,Val Thorens - Orelle,141,https://www.les3vallees.com/en/live/lifts-and-trails-opening/val-thorens
0345d73f7a4bf0f49815ccb16306a3ec6371544b,Espace Diamant,92,https://www.espacediamant.com/en/
6ed5f25f0eb3e366ee2e0e667d998c0bf551225f,Tignes - Val d'Isère,90,https://en.tignes.net/skiing/ski-area/lifts-and-pistes-live-opening
f47f7e05cc676b25b6a00f77f0b86a897f03018c,La Plagne,83,https://en.la-plagne.com/discover/ski-area/piste-map
721dd142d0af653027c7569e1bd0799586bdefa1,Alpe d'Huez Grand Domaine,83,https://www.alpedhuez.com/en/winter/open-lifts-and-slopes/
dec537b602584db89d89ab114a619f1ae356398e,Les Arcs,81,https://en.lesarcs.com/lifts-slopes-status
37ee9c6ba5b44864ba844f804938a8b815f8b717,SkiWelt Wilder Kaiser - Brixental,80,https://www.wilderkaiser.info/en/service/lift-status.html
fc172b6fc8f8c454471e679be1c8b2ecc884621e,Val Gardena,80,https://www.valgardena.it/en/winter-holidays-dolomites/slopes-ski-lifts/open-lifts/
5b78e5652d097c7679cef7128ee1b57ff09fb86e,Skicircus Saalbach-Hinterglemm Leogang Fieberbrunn,80,https://www.fieberbrunn.com/liftoperation
0ed72c1a44d748a815d1efcd54caacf169610f05,4 Vallées – Verbier/La Tzoumaz/Nendaz/Veysonnaz/Thyon,79,https://verbier4vallees.ch/en/useful-information/live-information-winter
775634f8f5f5b0724ecd27d82909b2008d58f7d5,Les Sybelles,70,https://www.sybelles.ski/en/skiing-in-les-sybelles/slopes-and-lifts-open/
39136d396c46f03d9e84227cd2bccbdf60c55efd,Serre Chevalier,70,https://www.serrechevalier-pass.com/en/info
efaa82d7ae8e42868f19ed2abb8001f518a404d0,Le Grand Massif,69,https://www.grand-massif.com/en/info-ski-area/
438e8330317f2f5a597b60acb0c0a11901b9329f,Zermatt - Breuil-Cervinia,65,https://www.matterhornparadise.ch/en/information/operating-hours/lifts-and-pistes
0e7f017d9c830408aebfc40144372d483b040462,KitzSki,62,https://www.kitzski.at/en/current-info/kitz-lift-status.html
41ca531357e0d2a532b8ab94e3e9fe74ddbe88c4,Alta Badia,61,https://www.altabadia.org/en/open-lifts-snow-report-dolomites
97a14cedc5b0e781e9bd9857df1426b9376c7462,Megève,61,https://forfait.megeve.com/hiver/en/ski-area-opening-information/
f5fcc0e543cfb0e4d50280c286081c27d975697f,Le Grand Domaine,59,https://skipass.valmorel.com/en/
baca23b1d6c08055f995fe20b50e3f6910b2ea2b,Espace Liberté,54,https://www.skipass-chatel.com/en/espace-liberte
3ab7375c4734163405f0f77a7c5a6afdfd600b73,Les Trois Vallées,54,https://www.les3vallees.com/en/live/lifts-and-trails-opening
de4f884c40976fe9d18c23d0bab174c1d6b79218,GrandValira,53,https://www.grandvalira.com/en/resort/open-slopes
f967615083aaed557fa47068b9d894e66d763f0a,Mayrhofen Hippach,53,https://www.mayrhofen.at/en/stories/skiing-snowboarding
583dbc4651db7ebcc7875a11180b634ec108ba8a,Pec pod Sněžkou,52,https://www.skiresort.cz/en/skiarealy/pec-pod-snezkou/pec-lanovky-a-vleky/
94cb050e1e20e04e822c14216840885aea2eafcc,Serre-Chevalier,51,https://www.serrechevalier-pass.com/en/info
d7f0152ded3f23d4e4cf3ad4571f131ec267ab40,Wendelstein,51,https://www.wendelsteinbahn.de/skigebiet-wendelstein-2
4a041686ec032469cd3d58aaaf73ed9864e4a173,Zillertal Arena,51,https://www.zillertalarena.com/en/winter/ski-area/lifts-slopes/
9cb83fdd2a49011eec76e3d1bbc2af8f582888a9,La Clusaz,51,https://forfait.laclusaz.com/en/
e587928ea763f20b3232a5069c5d2438d09b6908,Serfaus Fiss Ladis,48,https://www.serfaus-fiss-ladis.at/en/winter-holiday/ski-area-status
cafb6b6d5f25860a682a8b6d67efe689218618a5,Les Gets-Morzine,48,https://www.lesgets.com/en/discover-the-resort/ski-winter-sports/live-info-slopes/
4ae9b0cba5454d6f0921bf413c33a267f1d63cca,Arosa Lenzerheide,47,https://arosalenzerheide.swiss/en/Ski-Area/Lift-Company/Operating-hours-winter
4968c991f3910142689f5f0d2fabee02df54e214,Åre,47,https://www.skistar.com/en/ski-destinations/are/winter-in-are/weather-and-slopes/
ef817c42b82422721b05028c6d58ce10f8a2190c,Folgaria,47,https://www.alpecimbra.it/en/
b57f20e0c7ea594ef8ec8289fd87022b36417629,Wagrain,46,https://www.snow-space.com/openlifts
7c2f2690d339d9df6f820e7c6e596a9b0ba3dce5,Silvretta Arena Ischgl/Samnaun,44,https://www.ischgl.com/en/silvrettaseilbahnag/winter/facilities-at-a-glance
5bd589496339e89cf9be3d93c86e7e6c41f72208,Les Deux Alpes,44,https://www.les2alpes.com/winter/live-info/
f9beaf4e37ef88b422b9ee4aa2ae9224f10afd02,Corviglia,44,https://www.stmoritz.com/en/live/cable-cars-slopes
3885048f9cb77cae837d23131d2f8fb78d06f807,Perisher,44,https://www.perisher.com.au/reports-cams/reports/lift-report
be21197d101373cf2bc532a9fcce6d6e1d1bd76e,Park City Mountain Resort,43,https://www.parkcitymountain.com/the-mountain/mountain-conditions/terrain-and-lift-status.aspx
d264be37a4fd40a4de858be7fee0a5c077cb1068,Aletsch Arena,42,https://www.aletscharena.ch/en/here-now/live/status-report/status-report-winter
7cac2b19d023f887e458c354be9caf833b6aed6d,Avoriaz,41,https://www.skipass-avoriaz.com/en/slopes-and-lifts/
00fb2c5ba89284e0b4e3708d04d549905f260cf3,Big Sky Resort,41,https://bigskyresort.com/lift-status
66e672470add74c3e6a2bd8d4c1bb07cc4721728,St. Anton/St. Christoph/Stuben,40,https://www.skiarlberg.at/en/st-anton/live-info/cable-cars-lifts
403c8d67ddd348bfa3f7d02c6c21163479964926,Parsenn,39,https://www.davos.ch/en/discover/mountains/winter-sports-report/lifts-and-piste-report
e7c4c03bd7f9a3d907ff566775cfba1823bcf2ae,Val d'Allos - La Foux,39,https://en.valdallos.com/ouverture-des-pistes.html
9d0b2c5e0fcac9deba9c727a834cac4b43a5d2c9,Forêt Blanche : Vars/Risoul,38,https://www.vars.com/winter/
d5ff708ce6a4ab382afaeb81310e7317494b6fbb,Laax,38,https://live.laax.com/en/lifts
78e5f98d8527df7216b08962f372659abcd4f711,Sölden,38,https://www.soelden.com/en/live-information/status
876c2ec22f98746e8a3e32860f961b30e6e161c7,Trysil,37,https://www.trysil.com/en/
f654467c75bb645ac3a8e664b656d00b2e90ef2e,Silvretta Montafon,37,https://www.silvretta-montafon.at/en/info-service/lift-info
9e8a091097aeb5af7c87b5f53922e3db043a9849,Gletscher-Skigebiet Zugspitze,37,https://zugspitze.de/en/Service-information/Facilities
